createdat,createdby,modifiedat,modifiedby,groupname,groupnameprev,hierlevel,valcount,descript,coarea
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1000,"",0,0,Jerarquia CECO Avicola El Cortijo,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,111,1000,1,0,"Administración, Distribucion y Ventas",""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1111,111,2,0,Administración,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11111,1111,3,5,Gerencia General,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11112,1111,3,7,Gerencia Financiera,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11113,1111,3,3,Gerencia de RRHH,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11114,1111,3,1,Gerencia de Proyectos,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1112,111,2,0,Gerencia de Comercialización,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11121,1112,3,2,Ventas,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11122,1112,3,2,Lideres de Punto de Venta,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11123,1112,3,0,Mercadeo y CX,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,111231,11123,4,1,Publicidad - Mercadeo,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,111232,11123,4,1,CX,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,111233,11123,4,4,Sala de Ventas TGU,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,111234,11123,4,1,Sala de Ventas SPS,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,111235,11123,4,1,Sala de Ventas Choluteca,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,111236,11123,4,1,Sala de Ventas Ceiba,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11124,1112,3,1,Telemarketing,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1113,111,2,9,Gerencia de Suministros y Logistica,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,112,1000,1,0,Gerencia de Producción Avicola,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1121,112,2,0,Granjas Reproductoras,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11211,1121,3,0,Granjas de Desarrollo,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1121101,11211,4,4,Desarrollo - Tizatillo 2,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11212,1121,3,0,Granjas de Postura,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1121201,11212,4,7,Postura - Tizatillo 2,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1121299,11212,4,1,Manejo y Clasificación de Huevos,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11299,1121,3,2,Servicios de Reproductoras,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1122,112,2,0,Incubación,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11221,1122,3,1,Incubación,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123,112,2,0,Granjas de Engorde,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11231,1123,3,0,Granjas Propias,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123101,11231,4,1,Tizatillo 1A,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123102,11231,4,1,Tizatillo 1B,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123103,11231,4,1,Nueva Aldea,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123104,11231,4,1,Peña Blanca,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11232,1123,3,0,Granjas Alquiladas,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123201,11232,4,1,Izaguirre (Alquilada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123202,11232,4,1,Lardizabal (Alquilada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123203,11232,4,1,Arias (Alquilada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123204,11232,4,1,Villalobos (Alquilada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123205,11232,4,1,Avendaño (Alquilada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123206,11232,4,1,Carrizal (Alquilada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123207,11232,4,1,Juliz (Alquilada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11233,1123,3,0,Granjas Subcontratadas,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123301,11233,4,1,Granja Memo (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123302,11233,4,1,Granja Lagos (Subcontrada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123303,11233,4,1,Santa Isabel (Subcontradada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123304,11233,4,1,Genesis (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123305,11233,4,1,Menjivar (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123306,11233,4,1,Monte Redondo (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123307,11233,4,1,Durón (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123308,11233,4,1,Duron 2 (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123309,11233,4,1,Sol (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123310,11233,4,1,Quebrada Honda (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123311,11233,4,1,La Ermita (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123312,11233,4,1,Granja Trinidad (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1123313,11233,4,1,Granja Avidesa (Subcontratada),""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11239,1123,3,3,Servicios de Engorde,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,113,1000,1,0,Gerencia de Plantas,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1131,113,2,0,Planta de Procesamiento de Aves,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11311,1131,3,2,Beneficio,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11312,1131,3,2,Corte y Deshuese,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11313,1131,3,2,Tenderizado,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11314,1131,3,3,Maquilados,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11315,1131,3,1,Industrializados,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11316,1131,3,1,Empaque,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11317,1131,3,2,Almacen de PT,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11318,1131,3,1,Administración,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11319,1131,3,1,Inocuidad,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1132,113,2,5,Planta de Alimentos Balanceados,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1133,113,2,5,Planta de Procesamiento de Harinas,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,114,1000,1,6,Departamentos Servicios y Distribuibles,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,115,1000,1,1,Café,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,116,1000,1,1,Resultados Financieros,""
