createdat,createdby,modifiedat,modifiedby,groupname,hierlevel,valcount,descript,groupnameprev,versn
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,ZBEC,0,1,Balance Avicola El Cortijo,"",""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,17,1,1,ACTIVOS,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,8,2,1,ACTIVOS CORRIENTES,17,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,37,3,1,CAJA,8,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,46,4,1,Caja General,37,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,47,5,1,Caja General,46,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1110505001,6,0,X|X,47,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,38,3,1,BANCOS,8,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,48,4,1,Banco Moneda Nacional,38,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,50,5,1,Banco De Occidente,48,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120505100,6,0,X|X,50,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,51,5,1,Banco De America Central,48,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120510100,6,0,X|X,51,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,52,5,1,Ficohsa,48,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120515100,6,0,X|X,52,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,53,5,1,Banco Atlantida,48,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120520100,6,0,X|X,53,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120520110,6,0,X|X,53,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,54,5,1,Banhcafe,48,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120525100,6,0,X|X,54,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,55,5,1,Banpais,48,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120530100,6,0,X|X,55,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,56,5,1,Banrural,48,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120535100,6,0,X|X,56,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1120535110,6,0,X|X,56,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,49,4,1,Banco Moneda Extranjera,38,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,323,5,1,Hancock Whitney Bank,49,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1121040100,6,0,X|X,323,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,322,5,1,Banco Atlantida,49,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1121020100,6,0,X|X,322,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,57,5,1,Banco De Occidente,49,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1121005100,6,0,X|X,57,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,39,3,1,INVERSIONES Y VALORES,8,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,58,4,1,Inversiones Y Valores,39,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,59,5,1,Inversiones,58,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,40,3,1,CUENTAS POR COBRAR,8,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,60,4,1,Cuentas Por Cobrar,40,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,63,5,1,Cuentas Por Cobrar Clientes,60,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1140505001,6,0,X|X,63,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,64,5,1,Cuentas Por Cobrar Relacionados,60,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1140510001,6,0,X|X,64,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,65,5,1,Cuentas Por Cobrar Otros,60,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1140515001,6,0,X|X,65,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,61,4,1,Anticipos,40,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,66,5,1,Anticipos  A Proveedores,61,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1141005001,6,0,X|X,66,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,67,5,1,Anticipos A Empleados,61,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1141010001,6,0,X|X,67,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,68,5,1,Anticipos De Impuesto,61,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1141015001,6,0,X|X,68,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,62,4,1,Otras Contribuciones A Favor,40,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1141505001,5,0,X|X,62,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,41,3,1,INVENTARIOS,8,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,69,4,1,Inventario De Materia Prima,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,77,5,1,Inventario De Materia Prima,69,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1150505001,6,0,X|X,77,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,70,4,1,Inventario De Productos En Procesos,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,78,5,1,Inventario De Productos En Procesos Avic,70,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1151005001,6,0,X|X,78,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,79,5,1,Inv De Prod En Procesos Alimentos Balanc,70,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1151010001,6,0,X|X,79,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,36,5,1,Inventarios de productos en proceso PPH,70,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1151015001,6,0,X|X,36,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,71,4,1,Inventario De Productos Terminados,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,80,5,1,Inv De Productos Terminados Sector Avíco,71,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1151505001,6,0,X|X,80,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,81,5,1,Inv De Prod Terminados Alimentos Balance,71,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1151510001,6,0,X|X,81,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,321,5,1,Inv De Productos Termindos PPH,71,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1151515001,6,0,X|X,321,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,72,4,1,Inventario De Insumos,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,82,5,1,Inventario De Insumos Productivos,72,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1152005001,6,0,X|X,82,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,83,5,1,Inventario De Insumos No Productivos,72,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1152010001,6,0,X|X,83,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,73,4,1,Inv.Mercancia No Fabricada Por La Empres,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,84,5,1,Inv.Mercancia No Fabricada Por La Empres,73,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1152505001,6,0,X|X,84,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,74,4,1,Provisión Por Pérdida De Inventario,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,85,5,1,Provisión Por Pérdida De Inventario,74,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1153005001,6,0,X|X,85,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,75,4,1,Cuentas Transitorias,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,86,5,1,Inventario En Transito,75,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1153505001,6,0,X|X,86,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,76,4,1,Inventarios Con Periodo Especial,41,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1154010001,5,0,X|X,76,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,42,3,1,ACTIVOS BIOLÓGICOS CORRIENTES,8,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,324,4,1,Biologicos Corrientes en Desarrollo Avic,42,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1160505001,5,0,X|X,324,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,43,3,1,ACTIVOS DIFERIDOS,8,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,327,4,1,Otros Activos Diferidos,43,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1170515001,5,0,X|X,327,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,328,4,1,Cuentas Transitorias,43,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1170520001,5,0,X|X,328,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,326,4,1,Impuestos Diferidos,43,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1170510001,5,0,X|X,326,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,325,4,1,Cuentas Pagadas por Anticipado,43,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1170505001,5,0,X|X,325,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,18,2,1,ACTIVOS NO CORRIENTES,17,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,44,3,1,ACTIVOS NO CORRIENTES TANGIBLES,18,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,87,4,1,Propiedad Planta y Equipo Neto,44,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,92,5,1,Propiedad Planta y Equipo,87,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1210505001,6,0,X|X,92,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,93,5,1,Dep. Acum. Propiedad Planta y Equipo,87,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1210510001,6,0,X|X,93,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,88,4,1,Inversiones en Proceso,44,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,94,5,1,Inversiones en Proceso,88,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1211005001,6,0,X|X,94,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,89,4,1,Activo Biológico No Corriente,44,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,95,5,1,Activo Biológico No Corriente Avícola,89,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1211505001,6,0,X|X,95,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,96,5,1,Agot. Acum.Activo Biológico Sector Avíco,89,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1211510001,6,0,X|X,96,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,45,3,1,ACTIVOS NO CORRIENTES INTANGIBLES,18,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,97,4,1,Activos Intangibles,45,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,90,5,1,Programas y Licencias,97,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1220505001,6,0,X|X,90,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,98,4,1,Amortizacion Acum. de Activos Intangible,45,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,91,5,1,Amortizacion Acum. Programas,98,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA1221005001,6,0,X|X,91,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,9,1,1,PASIVOS,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,19,2,1,PASIVO CORRIENTE,9,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,99,3,1,OBLIGACIONES FINANCIERAS C/P,19,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,101,4,1,Obligaciones Financieras,99,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,102,5,1,Obligaciones Financieras Bancos,101,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2110505001,6,0,X|X,102,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,103,5,1,Obligaciones Financieras Pagares,101,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2110510001,6,0,X|X,103,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,100,3,1,CUENTAS por PAGAR C/P,19,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,104,4,1,Cuentas por Pagar,100,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,111,5,1,Cuentas por Pagar Proveedores,104,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2120505001,6,0,X|X,111,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,112,5,1,Cuentas por Pagar Relacionadas,104,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2120510001,6,0,X|X,112,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,113,5,1,Cuentas por Pagar Otros,104,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2120515001,6,0,X|X,113,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,105,4,1,Retenciones y Aportes de Nómina,100,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,114,5,1,Retenciones de Nómina,105,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2121005001,6,0,X|X,114,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,115,5,1,Aportes de Nómina,105,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2121010001,6,0,X|X,115,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,106,4,1,"Impuestos, Tasas y Contribuciones",100,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,116,5,1,"Impuestos, Tasas y Contribuciones",106,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2121505001,6,0,X|X,116,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,107,4,1,Sueldos y Salarios por Pagar,100,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,117,5,1,Sueldos y Salarios por Pagar,107,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2122005001,6,0,X|X,117,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,118,5,1,Provisiones Laborales por Pagar,107,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2122010001,6,0,X|X,118,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,108,4,1,Provisiones,100,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,119,5,1,Provisiones Servicios,108,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2122505001,6,0,X|X,119,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,120,5,1,Provisiones Operativas y Administrativas,108,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2122510001,6,0,X|X,120,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,109,4,1,Anticipos de Clientes,100,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,121,5,1,Anticipos de Clientes,109,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2123005001,6,0,X|X,121,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,110,4,1,Cuentas Transitorias,100,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,122,5,1,Cuentas Transitorias,110,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2123505001,6,0,X|X,122,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,20,2,1,PASIVOS NO CORRIENTES,9,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,123,3,1,OBLIGACIONES FINANCIERAS L/P,20,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,124,4,1,Obligaciones Financieras,123,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,125,5,1,Obligaciones Financieras de Pagares L/P,124,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA2210505001,6,0,X|X,125,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,10,1,1,CAPITAL,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,21,2,1,CAPITAL,10,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,126,3,1,CAPITAL,21,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,127,4,1,CAPITAL SOCIAL,126,""
